"Country","Code","Year","Traditional biofuels","Other renewables (modern biofuels, geothermal, wave & tidal)","Wind","Solar PV","Hydropower"
"Algeria","DZA","1965","","0.0","0.0","0.0",""
"Algeria","DZA","1966","","0.0","0.0","0.0",""
"Algeria","DZA","1967","","0.0","0.0","0.0",""
"Algeria","DZA","1968","","0.0","0.0","0.0",""
"Algeria","DZA","1969","","0.0","0.0","0.0",""
"Algeria","DZA","1970","","0.0","0.0","0.0",""
"Algeria","DZA","1971","","0.0","0.0","0.0",""
"Algeria","DZA","1972","","0.0","0.0","0.0",""
"Algeria","DZA","1973","","0.0","0.0","0.0",""
"Algeria","DZA","1974","","0.0","0.0","0.0",""
"Algeria","DZA","1975","","0.0","0.0","0.0",""
"Algeria","DZA","1976","","0.0","0.0","0.0",""
"Algeria","DZA","1977","","0.0","0.0","0.0",""
"Algeria","DZA","1978","","0.0","0.0","0.0",""
"Algeria","DZA","1979","","0.0","0.0","0.0",""
"Algeria","DZA","1980","","0.0","0.0","0.0",""
"Algeria","DZA","1981","","0.0","0.0","0.0",""
"Algeria","DZA","1982","","0.0","0.0","0.0",""
"Algeria","DZA","1983","","0.0","0.0","0.0",""
"Algeria","DZA","1984","","0.0","0.0","0.0",""
"Algeria","DZA","1985","","0.0","0.0","0.0",""
"Algeria","DZA","1986","","0.0","0.0","0.0",""
"Algeria","DZA","1987","","0.0","0.0","0.0",""
"Algeria","DZA","1988","","0.0","0.0","0.0",""
"Algeria","DZA","1989","","0.0","0.0","0.0",""
"Algeria","DZA","1990","","0.0","0.0","0.0",""
"Algeria","DZA","1991","","0.0","0.0","0.0",""
"Algeria","DZA","1992","","0.0","0.0","0.0",""
"Algeria","DZA","1993","","0.0","0.0","0.0",""
"Algeria","DZA","1994","","0.0","0.0","0.0",""
"Algeria","DZA","1995","","0.0","0.0","0.0",""
"Algeria","DZA","1996","","0.0","0.0","0.0",""
"Algeria","DZA","1997","","0.0","0.0","0.0",""
"Algeria","DZA","1998","","0.0","0.0","0.0",""
"Algeria","DZA","1999","","0.0","0.0","0.0",""
"Algeria","DZA","2000","","0.0","0.0","0.0",""
"Algeria","DZA","2001","","0.0","0.0","0.0",""
"Algeria","DZA","2002","","0.0","0.0","0.0",""
"Algeria","DZA","2003","","0.0","0.0","0.0",""
"Algeria","DZA","2004","","0.0","0.0","0.0",""
